city,city link,subcity,subcity link,restaurant code,restaurant,rating,rating count,cost,address,cuisine,licension no,restaurant link,menu,item,price,veg_or_non_veg
Mansa,https://www.swiggy.com/city/mansa,,,132056,Punjabi Chaska,3.7,500+ ratings,₹ 300,"Punjabi Chaska, 161, Gangotri Nagar, Near Triveni Puliya, Mansarovar, Jaipur","North Indian,Pizzas",12220027000811,https://www.swiggy.com/restaurants/punjabi-chaska-manasarovar-gopal-pura-mode-jaipur-132056,Bread,Plain Dahi Mini Meal,470.0,Veg
Bangalore,https://www.swiggy.com/city/bangalore,Whitefield,https://www.swiggy.com/city/bangalore/whitefield-restaurants,460204,Oakleaf,--,Too Few Ratings,₹ 2000,"Oakleaf, 62, Forum Value Mall, Oakwood Residence Prestige, Whitefield, Bangalore,560066","Asian,Continental",11216333000001,https://www.swiggy.com/restaurants/oakleaf-varthur-gunjur-bangalore-460204,Salads,Salad Nicoise,400.0,Non-veg
Delhi,https://www.swiggy.com/city/delhi,Rohini,https://www.swiggy.com/city/delhi/rohini-restaurants,576642,Chin China,--,Too Few Ratings,₹ 300,"Chin China, SHOP NO:GS-01,GROUND FLOOR,R.G COMPLEX-I,PLOT NO-1,DDA COMMUNITY CENTER,SECTOR-14,ROHINI,DELHI., Rohini, North West , , Delhi, 110085","Chinese,Snacks",23322001001790,https://www.swiggy.com/restaurants/chin-china-rohini-delhi-576642,Tandoori Snacks,Spl Tandoori Platter,450.0,Veg
Delhi,https://www.swiggy.com/city/delhi,South Extension,https://www.swiggy.com/city/delhi/south-extension-restaurants,302130,Curry & Co,--,Too Few Ratings,₹ 700,"Curry & Co, 141 A/2, Ground Floor, Shahpur Jat, MEHRAULI, South, Delhi, 110049","Indian,Chaat",13320002000190,https://www.swiggy.com/restaurants/curry-and-co-south-extension-siri-fort-delhi-302130,Indian Breads,Hari Mirch Naan,55.0,Veg
Mysore,https://www.swiggy.com/city/mysore,Mysore North,https://www.swiggy.com/city/mysore/mys-north-restaurants,290886,ZAIKA,3.3,20+ ratings,₹ 300,"ZAIKA, 3615/1 , M 29/1 , NEW SAYYAGI RAO ROAD , MANDI MOHALLA , MYSORE  - 570021","Indian,Biryani",11220335000163,https://www.swiggy.com/restaurants/zaika-north-tilak-nagar-mysore-290886,Non Veg Gravy,Mutton Peshawari,385.0,Non-veg
Namakkal,https://www.swiggy.com/city/namakkal,,,420026,CURRYSORU MESS,--,Too Few Ratings,₹ 150,"CURRYSORU MESS, MUDALAPATTI PUDUR ,MUDALAPATTI ,NAMAKKAL",South Indian,22421441000396,https://www.swiggy.com/restaurants/currysoru-mess-periyapatti-namakkal-420026,Dinner Special,Chiken Fry,130,Non-veg
Kolkata,https://www.swiggy.com/city/kolkata,Jadavpur,https://www.swiggy.com/city/kolkata/Jadavpur-restaurants,352589,KIMCHI,3.9,50+ ratings,₹ 300,"KIMCHI, 162A LAKE GARDENS, WARD NO-93, KOLKATA MUNICIPAL CORPORATION, Kolkata, West Bengal,",Chinese,22821042000540,https://www.swiggy.com/restaurants/kimchi-jadavpur-lake-gardens-kolkata-352589,Fish Starters,Red Pepper Fish [7 Pcs],330,Non-veg
Coimbatore,https://www.swiggy.com/city/coimbatore,Gandhipuram,https://www.swiggy.com/city/coimbatore/gandhipuram-restaurants,50162,Ammayi Veedu Pot Cook,4.2,100+ ratings,₹ 300,"Ammayi Veedu Pot Cook, 138, Avarampalayam Road, New Siddhapudur, Coimbatore","South Indian,Indian",12417003000260,https://www.swiggy.com/restaurants/ammayi-veedu-pot-cook-gandhipuram-g-k-d-nagar-coimbatore-50162,Roast,Egg Roast Dosai,120.0,Non-veg
Mysore,https://www.swiggy.com/city/mysore,Mysore North,https://www.swiggy.com/city/mysore/mys-north-restaurants,68514,Hotel Sri Durga Bhavan,4.3,100+ ratings,₹ 100,"Hotel Sri Durga Bhavan, Opp Vidyavardhaka Engineering College High Tention Road , Mahadeshwara Layout, Mysore - 16",South Indian,11220335000216,https://www.swiggy.com/restaurants/hotel-sri-durga-bhavan-mahadeshwara-layout-mahadeshwara-badavane-layout-mysore-68514,South Indian,Bisi Bele Bath,55.0,Veg
Balasore,https://www.swiggy.com/city/balasore,,,419760,Raita Restaurant,3.9,50+ ratings,₹ 200,"Raita Restaurant, AT - Shopping Complex,Room No-17,Near DIC Office, OT Road, Eastern Side, Balasore","Chinese,Indian",12021002000078,https://www.swiggy.com/restaurants/raita-restaurant-balasore-balasore-419760,Main Course,Home Style Chicken Curry,210.0,Non-veg
Delhi,https://www.swiggy.com/city/delhi,Dilshad Gardens,https://www.swiggy.com/city/delhi/dilshad-gardens-restaurants,246369,Dadi's Parantha,--,Too Few Ratings,₹ 200,"Dadi's Parantha, 289,agcr enclave,East Delhi",Indian,23319003002486,https://www.swiggy.com/restaurants/dadis-parantha-agcr-enclave-anand-vihar-delhi-246369,Combos,2 Aloo Paratha With Dahi,150.0,Veg
Hyderabad,https://www.swiggy.com/city/hyderabad,Madhapur,https://www.swiggy.com/city/hyderabad/madhapur-restaurants,487816,Shoyu,4.3,1K+ ratings,₹ 1200,"Shoyu, Sy No. 05, Door No. 1-52/1/G, 3rd Floor, Vijayalakshmi Pride, Madhapur, Hyderabad, Madhapur, Kandukur, Rangareddi, Telangana","Pan-Asian,Asian",23621028003218,https://www.swiggy.com/restaurants/shoyu-madhapur-hyderabad-487816,Bao,Crispy Pork Bao,525.0,Non-veg
